               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.024994,            0.023974,          0.00092238,             0.75847,             0.71487,               0.772,             0.45404,            0.038289,            0.015893,          0.00061641,            0.005314,            0.005314,            0.005314
                 144,            0.024377,            0.023568,           0.0010537,             0.77719,             0.72027,             0.76137,              0.4364,            0.036989,            0.015322,          0.00045851,            0.005281,            0.005281,            0.005281
                 145,            0.025287,            0.023092,          0.00087384,             0.80908,             0.80316,             0.80825,             0.45515,            0.037454,            0.015665,          0.00047915,            0.005248,            0.005248,            0.005248
                 146,            0.024817,            0.023154,          0.00091695,              0.7492,             0.71328,             0.74615,             0.41948,            0.038868,            0.017588,          0.00038581,            0.005215,            0.005215,            0.005215
                 147,            0.024846,             0.02383,          0.00096673,             0.71698,             0.76247,             0.77603,             0.42811,            0.040035,            0.018084,          0.00065839,            0.005182,            0.005182,            0.005182
                 148,            0.025123,            0.023416,           0.0011152,             0.77797,             0.75544,             0.77335,             0.47811,            0.037915,            0.017074,          0.00066476,            0.005149,            0.005149,            0.005149
                 149,            0.024691,            0.023275,           0.0015357,              0.8114,             0.73432,             0.76584,             0.45517,            0.040391,            0.018045,          0.00067663,            0.005116,            0.005116,            0.005116
                 150,            0.024546,            0.023218,             0.00133,             0.76989,             0.68694,             0.73167,             0.42553,            0.038407,            0.018004,          0.00061855,            0.005083,            0.005083,            0.005083
                 151,            0.024973,            0.022766,           0.0012715,             0.75817,             0.74445,             0.71774,             0.41915,            0.037762,            0.016558,          0.00061562,             0.00505,             0.00505,             0.00505
                 152,            0.024538,            0.022963,           0.0012552,             0.74926,             0.76237,             0.75806,             0.43627,             0.03744,            0.017294,          0.00064373,            0.005017,            0.005017,            0.005017
                 153,            0.024612,             0.02307,          0.00086858,             0.78276,             0.78464,             0.77977,             0.42352,            0.038655,            0.018065,            0.000424,            0.004984,            0.004984,            0.004984
                 154,            0.024533,            0.023581,          0.00085545,             0.79055,             0.68494,             0.75038,             0.39638,            0.038493,            0.018394,          0.00041921,            0.004951,            0.004951,            0.004951
                 155,            0.024274,             0.02376,          0.00086731,             0.70525,             0.70058,             0.71103,              0.3851,              0.0371,            0.018134,          0.00035444,            0.004918,            0.004918,            0.004918
                 156,            0.024386,            0.023386,           0.0011048,             0.79743,             0.73761,              0.7334,             0.43014,            0.037778,            0.017982,          0.00040705,            0.004885,            0.004885,            0.004885
                 157,            0.024602,            0.022842,          0.00078203,             0.68695,              0.7601,             0.73579,             0.42103,            0.036579,            0.017113,          0.00053544,            0.004852,            0.004852,            0.004852
                 158,            0.024078,            0.022965,          0.00099868,             0.65481,             0.76554,             0.76443,             0.43059,            0.036966,            0.017491,          0.00046735,            0.004819,            0.004819,            0.004819
